model,RMSE,MAE,R2_oos,feature_set
Ridge,0.02364791375295771,0.016748319734563356,-0.03784841940792494,theory_only
Linear,0.023672345840697846,0.016788618597786745,-0.03999405497912201,theory_only
Lasso,0.02442830306110587,0.01783167372166527,-0.10747737138141145,theory_only
Mean,0.025196262400208568,0.018678398771524298,-0.17820404055370198,theory_only
Ridge + H,0.023286829759765204,0.016276032992405463,-0.0766570542722016,theory_plus_h
Linear + H,0.023371424803941346,0.01644982969864346,-0.0844936972854009,theory_plus_h
Lasso + H,0.023552730128422607,0.016600925816929263,-0.10138502050114084,theory_plus_h
Mean,0.024750932694632206,0.018625709235508252,-0.2162974385246561,theory_plus_h
