country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment,gdp_pc_t10,growth_10y_avg,n_g_delta,ln_y0,ln_s,ln_ngd,ln_h
BLR,2010,5616.0941173307,40.6563662623236,-0.218522755959381,111.028998547015,6251.98898968645,0.01072632261040205,0.04781477244040619,8.633391704349176,-0.9000147506373144,-3.040420640359452,4.709791415364279
BLZ,2000,5663.64632374973,26.2033579229094,3.26709202067925,67.7030181884766,5937.75398343789,0.004726303300285828,0.0826709202067925,8.641823190583125,-1.3392826184369298,-2.4928873686945567,4.215130760733598
BLZ,2010,5937.75398343789,15.4511716601437,2.41171251993503,75.6223037349759,5006.48453276935,-0.017059696587276997,0.0741171251993503,8.689086223585983,-1.8674853499117048,-2.602108664078764,4.325751262624191
BMU,2010,118382.908990645,13.0430267361979,0.251394586009326,89.5964279174805,98999.5076617935,-0.01788094852802775,0.05251394586009326,11.681679641271442,-2.036916544751713,-2.9466765092290554,4.49531545219377
BOL,2000,2014.19024658446,18.1434786934628,1.71712723342906,72.7576370239258,2481.40700850945,0.02086084895471547,0.0671712723342906,7.607972530875074,-1.706858990476829,-2.7005096178805195,4.287133876815872
BOL,2010,2481.40700850945,17.0070184588469,1.64440681785103,87.7601876397411,2765.0927177231,0.01082484256024161,0.0664440681785103,7.816581020422229,-1.7715440766107966,-2.7113947652489885,4.474607954065659
BRN,2000,37509.5983847742,18.7374704379378,2.17184750364769,82.8583526611328,33121.3178241724,-0.01244197390496211,0.0717184750364769,10.532352136134428,-1.674644900255734,-2.6350068932086153,4.417132555461194
BRN,2010,33121.3178241724,23.6902575256773,1.89897689252094,101.011688232422,30015.9588506697,-0.009844791619298476,0.0689897689252094,10.407932397084807,-1.4401062972273773,-2.6737970618251574,4.615236235219115
BTN,2000,1259.6237645235,54.0420474077414,2.42228077592733,30.5185794830322,2378.72810760985,0.06357528594798093,0.0742228077592733,7.138568355771268,-0.6154077867199752,-2.6006837938405836,3.4183356615267755
BTN,2010,2378.72810760985,62.9334525245912,1.0954380761045,62.9354400634766,3092.12428399363,0.02622923889891853,0.060954380761045,7.774321215251077,-0.4630923270177086,-2.797629550969218,4.142109440067899
BWA,1990,4039.46544455099,37.3669769651251,2.75036067045791,43.0783309936523,5062.64289173588,0.022577629004903697,0.0775036067045791,8.3038676464955,-0.9843828404611362,-2.5574308055820993,3.7630201095147693
BWA,2000,5062.64289173588,29.551080393757,2.13210606291764,76.1968231201172,5584.5034321846,0.009810686002736446,0.0713210606291764,8.529643936544536,-1.219049881255881,-2.6405636146847584,4.333319770486448
CAF,1990,519.786735961912,12.708059808033,3.10993470955643,12.1238403320312,437.168928414826,-0.01730989200244597,0.0810993470955643,6.253418604301803,-2.0629337632625764,-2.512080368502741,2.4951737895304142
CAN,2000,37906.8601321366,20.6144677111521,0.931281553452429,101.992736816406,41164.3399119626,0.008244024361167668,0.05931281553452429,10.542887380815863,-1.579177040625735,-2.82492988276061,4.62490160306659
