country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment
ABW,1990,24763.6538099384,,3.75056134586705,
ABW,2000,28104.8954362859,25.4941135775374,1.03081685259869,
ABW,2010,25429.2180974853,28.2831797071863,0.230041095930877,98.2207412719727
ABW,2020,22729.8897593533,23.9492805852762,-0.565684046703506,135.124725341797
AFE,1990,1293.87019984421,,2.86654890669014,24.2189292907715
AFE,2000,1205.98105360593,18.9834572520083,2.59538933998788,27.7371292114258
AFE,2010,1449.48915951845,21.5855677899219,2.73452519643287,38.864860534668
AFE,2020,1399.39849841898,19.6988732723162,2.69951609745311,44.682559967041
AFG,1990,,,1.43458821147838,11.0395498275757
AFG,2000,308.318269746638,,1.21217597601851,
AFG,2010,542.871030476037,,2.93468670173474,50.4406204223633
AFG,2020,527.834554499306,11.5,3.15360920291972,
AFW,1990,1260.2797881965,,2.66136615067968,20.4625606536865
AFW,2000,1188.0373057001,,2.75132392809025,22.3391399383545
AFW,2010,1677.95238312056,,2.78698893627561,38.3284301757812
AFW,2020,1719.26150438049,,2.38917570433681,44.7343406677246
AGO,1990,2675.05239370666,0.0,3.39240335400398,9.64206981658936
AGO,2000,2172.46326720494,,3.31228746945312,13.3690700531006
AGO,2010,3540.79159568381,29.7638327935383,3.85109824897149,28.2108038778932
AGO,2020,2864.16146036893,19.6439562319095,3.26795864914978,
ALB,1990,1682.8810874018,30.360946807547,1.79908559333186,
ALB,2000,1991.91435867116,34.0401392244169,-0.637356833943492,
ALB,2010,3579.82413181046,32.4926226328977,-0.49646196338738,93.6818237304688
ALB,2020,4980.61699524696,26.2183472454095,-1.54315589345436,95.9294474518951
AND,1990,31143.1615046334,,3.83123287796408,
AND,2000,34113.8334027285,,-0.038053198830509,
AND,2010,36277.2814831059,,-3.86696538756774,85.4886322021484
AND,2020,34536.666145207,,1.17775354895761,97.1500396728516
ARB,1990,4290.84865100714,30.1814997503642,3.28626669219108,54.0517387390137
ARB,2000,4910.08259157072,19.8200202599509,2.41543527490979,59.2162818908691
ARB,2010,5948.12916468842,26.835298569653,1.99515168852155,64.951042175293
ARB,2020,5904.57124162288,24.2500330678182,2.10294522896747,67.2821731567383
ARE,1990,66481.6137644725,,5.8784228791753,
ARE,2000,56939.2701807931,,6.73568170124179,
ARE,2010,42328.8508165469,28.9193053739198,2.39801204084647,
ARE,2020,39878.474427695,22.8266562576,-0.474850154644905,99.1635400791877
ARG,1990,8115.09386370753,13.9969815756662,1.49157462934909,72.95556640625
ARG,2000,10631.6503639029,17.5334874363903,1.13312807570195,96.2141189575195
ARG,2010,13387.1553748458,17.7055338062046,1.05636332156278,99.0709991455078
ARG,2020,11393.0505957877,14.4151557410245,0.484665636741261,112.376731872559
ARM,1990,1644.02214502158,47.1476843569867,3.1174632144082,
ARM,2000,1229.21510436102,21.92233140183,1.68478463633775,86.0512008666992
ARM,2010,2796.08143428043,38.8147549853077,-0.693856288987436,107.732391357422
ARM,2020,4032.09043454955,19.663832943599,-0.0337609726366775,88.5080298201293
ASM,1990,,,3.15605900743314,90.399787902832
ASM,2000,,,1.07336821798259,
ASM,2010,12446.3086265015,,-0.541732698337665,
ASM,2020,13194.274740128,,-0.896274880494128,
ATG,1990,13166.5241173582,,-0.409839881846658,
ATG,2000,15961.0918359058,,1.67727282735622,80.2067489624023
ATG,2010,16135.397384487,,1.35346888620455,115.466743469238
ATG,2020,14950.8942397208,,0.526173366134419,
AUS,1990,36975.4199007908,28.9035413494686,1.48004693689661,
AUS,2000,45979.0765654048,26.2042380502619,1.14447285147721,
AUS,2010,53768.349733441,26.697693257066,1.55570626204128,
AUS,2020,58377.7670517802,22.3449300806534,1.23342825131378,137.490737915039
AUT,1990,31167.1857978698,27.0291365800716,0.762001611316115,
AUT,2000,38571.0858780001,25.9400787116929,0.240466652446524,98.6123428344727
AUT,2010,43035.4073531933,22.8592812354211,0.240394299500766,100.263969421387
AUT,2020,43428.6983137234,25.6530737541266,0.415176731565556,101.690559387207
AZE,1990,2866.41060718579,26.5347885402456,1.38441350150675,
AZE,2000,1504.73106706035,20.6735762277188,0.821519963674211,
AZE,2010,5300.11048729062,18.0595784763923,1.18978770786007,83.0853181521079
AZE,2020,5087.50022783627,23.6659543305763,0.684365325388407,91.365513501165
BDI,1990,373.245241687992,,2.0861326947595,4.60391998291016
BDI,2000,264.154407180223,,2.07761630416467,
BDI,2010,253.308577749924,,4.68101057302388,23.7647094726562
BDI,2020,263.463876356897,,2.9086530249822,44.9151717353101
BEL,1990,29609.6207516724,24.3463734360231,0.298235706313592,
BEL,2000,35878.3153586195,23.7829613022103,0.242517956221334,146.919784545898
BEL,2010,39991.5646206286,22.3942744569467,0.913639391631709,160.66047668457
BEL,2020,40769.0218072962,24.068567845367,0.430996815099722,151.727508544922
BEN,1990,749.459666582926,14.060356419347,3.07281526239198,
BEN,2000,861.213292013209,16.0084024487125,3.07665265205002,20.0005397796631
BEN,2010,928.246655329144,15.608089212583,2.98424162798508,
BEN,2020,1126.65404122154,25.6338435081567,2.66259875153288,43.9858703613281
BFA,1990,332.153276660935,18.9133966293571,2.6348206163474,6.78861999511719
BFA,2000,428.309796566198,14.5706990626075,2.98414422391968,9.85589981079102
BFA,2010,561.847221302489,21.9904340000138,2.92577947499021,21.1780201888507
BFA,2020,713.8421779224,17.1615174265995,2.43522959287393,39.2540084845692
BGD,1990,473.444821021085,16.4586755151535,1.9903336888239,19.8893508911133
BGD,2000,620.560472822105,23.8085625731369,1.82732806740512,46.7210006713867
BGD,2010,943.66422864236,26.2466561760577,0.876530534249878,49.5031106793162
BGD,2020,1604.6659234742,31.3079413414304,0.836310836229073,66.4329548486639
BGR,1990,4425.49968282931,25.588778293303,-1.80375047906806,
BGR,2000,3717.92889906166,19.0461434857678,-0.493896416633318,79.8759078979492
BGR,2010,6428.71742590538,22.5179685624585,-0.658275446635908,94.1819229125977
BGR,2020,8440.08304721192,20.1519208043409,-1.00293821352921,101.354942321777
BHR,1990,18345.8379968815,14.4494275559834,3.45248907691035,82.7652893066406
BHR,2000,25407.9694054552,16.5750590582953,2.63695278007044,91.4384078979492
