country,year,gdp_per_capita,investment_rate,population_growth
BRA,2000,6817.783456,18.90311927,1.375211283
BRA,2010,8792.63335,21.80132156,0.840883225
BRA,2020,8435.010462,16.1158206,0.57935071
BRB,1990,19382.86872,,0.183088202
BRB,2000,21523.39922,,-0.173090897
BRB,2010,21982.1839,,0.407743308
BRB,2020,17519.83706,,0.174452216
BRN,1990,44179.82787,10.8883468,2.872121068
BRN,2000,37509.59838,18.73747044,2.171847504
BRN,2010,33121.31782,23.69025753,1.898976893
BRN,2020,30015.95885,40.58783027,1.061482816
BTN,1990,812.6713256,27.8570302,2.700544979
BTN,2000,1259.623765,54.04204741,2.422280776
BTN,2010,2378.728108,62.93345252,1.095438076
BTN,2020,3092.124284,39.07057236,0.675256503
BWA,1990,4039.465445,37.36697697,2.75036067
BWA,2000,5062.642892,29.55108039,2.132106063
BWA,2010,5584.503432,34.70210913,2.109435975
BWA,2020,6254.248062,32.72725984,1.439410358
CAF,1990,519.786736,12.70805981,3.10993471
CAF,2000,437.1689284,11.07229594,2.749554199
CAF,2010,519.1414564,16.8437813,-0.799202484
CAF,2020,398.8342741,26.0,1.643247897
CAN,1990,31700.54626,21.30421092,1.507660673
CAN,2000,37906.86013,20.61446771,0.931281553
CAN,2010,41164.33991,23.4820047,1.11135203
CAN,2020,42366.12854,22.67471761,1.084368971
CEB,1990,6751.231056,,-0.052821831
CEB,2000,7450.860823,25.55189886,-0.56377369
CEB,2010,10998.65348,22.99178053,-0.362321893
CEB,2020,14621.13637,21.89668892,-0.638677454
CHE,1990,70063.85171,34.91963409,1.026873072
CHE,2000,73749.93895,27.23419109,0.561954617
CHE,2010,81315.42283,25.8955592,1.041558058
CHE,2020,84637.01329,29.57874984,0.730676195
CHI,1990,,,1.114605268
CHI,2000,,,0.376103046
CHI,2010,64722.9833,,0.702241191
CHI,2020,58636.70361,,0.359172843
CHL,1990,5290.536948,25.72326538,1.667226756
CHL,2000,8465.353033,23.75075555,1.196019259
CHL,2010,11649.28971,24.77546766,1.004553624
CHL,2020,12679.024,21.0582071,0.896491954
CHN,1990,917.2706618,34.09149854,1.467303211
CHN,2000,2237.442985,33.63268271,0.787956593
CHN,2010,5764.86535,46.10234433,0.482959689
CHN,2020,10573.64201,42.57237351,0.23804087
CIV,1990,1866.07857,6.688803339,3.932048697
CIV,2000,1717.953857,15.89240727,2.76729584
CIV,2010,1540.529273,21.68105453,2.203591142
CIV,2020,2055.08484,21.74289341,2.530198035
CMR,1990,1360.477653,17.81197837,2.946999875
CMR,2000,1151.276893,17.19233057,2.632763072
CMR,2010,1290.901375,18.22844404,2.857661467
CMR,2020,1434.519137,17.66054398,2.724486348
COD,1990,831.6629474,,3.317975387
COD,2000,339.5268222,14.43349633,3.207807483
COD,2010,400.619568,24.0289276,3.187515928
COD,2020,470.85295,21.84882574,3.220980492
